央视频道,#genre#
CCTV1[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=007
CCTV2[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=007
CCTV3[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265003/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=007
CCTV4[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=007
CCTV5[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000004000008885/index.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=007
CCTV5+[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031127/index.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=007
CCTV6[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265006/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=007
CCTV7[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265007/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=007
CCTV8[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265008/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=007
CCTV9[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265009/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=007
CCTV10[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265010/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265010&livemode=1&stbId=007
CCTV11[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265011/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=007
CCTV12[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265012/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=007
CCTV13[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265101/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265101&livemode=1&stbId=007
CCTV14[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265013/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=007
CCTV15[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265014/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=007
CCTV16[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000006000233002/index.m3u8?channel-id=ystenlive&Contentid=1000000006000233002&livemode=1&stbId=007
CCTV16[3840x2160],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=007
CCTV17[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265015/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=007
CGTN英语[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/7745129417417101820/index.m3u8?channel-id=hnbblive&Contentid=7745129417417101820&livemode=1&stbId=007
CGTN纪录[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/7114647837765104058/index.m3u8?channel-id=hnbblive&Contentid=7114647837765104058&livemode=1&stbId=007
精品频道,#genre#
iHOT爱谍战[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000038/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000038&livemode=1&stbId=007
iHOT爱动漫[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000059/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000059&livemode=1&stbId=007
iHOT爱科幻[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000033/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000033&livemode=1&stbId=007
iHOT爱科学[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000047/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000047&livemode=1&stbId=007
iHOT爱浪漫[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000035/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000035&livemode=1&stbId=007
iHOT爱历史[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000046/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000046&livemode=1&stbId=007
iHOT爱旅行[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000056/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000056&livemode=1&stbId=007
iHOT爱奇谈[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000058/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000058&livemode=1&stbId=007
iHOT爱赛车[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000055/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000055&livemode=1&stbId=007
iHOT爱体育[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000060/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000060&livemode=1&stbId=007
iHOT爱玩具[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000053/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000053&livemode=1&stbId=007
iHOT爱喜剧[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000032/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000032&livemode=1&stbId=007
iHOT爱悬疑[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000036/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000036&livemode=1&stbId=007
iHOT爱幼教[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000049/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000049&livemode=1&stbId=007
iHOT爱院线[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000004000000034/index.m3u8?&channel-id=hnbblive&Contentid=2000000004000000034&livemode=1&stbId=007
NewTV超级电视剧[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000024993/index.m3u8?channel-id=ystenlive&Contentid=1000000004000024993&livemode=1&stbId=007
NewTV超级电影[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000003000012426/index.m3u8?channel-id=ystenlive&Contentid=1000000003000012426&livemode=1&stbId=007
NewTV超级体育[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000001000009601/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009601&livemode=1&stbId=007
NewTV超级综艺[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000023658/index.m3u8?channel-id=ystenlive&Contentid=1000000004000023658&livemode=1&stbId=007
NewTV潮妈辣婆[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000003000000018/index.m3u8?channel-id=hnbblive&Contentid=2000000003000000018&livemode=1&stbId=007
NewTV东北热剧[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000266013/index.m3u8?channel-id=ystenlive&Contentid=1000000005000266013&livemode=1&stbId=007
NewTV动作电影[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000018653/index.m3u8?channel-id=ystenlive&Contentid=1000000004000018653&livemode=1&stbId=007
NewTV古装剧场[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000003000000024/index.m3u8?channel-id=hnbblive&Contentid=2000000003000000024&livemode=1&stbId=007
NewTV欢乐剧场[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000266012/index.m3u8?channel-id=ystenlive&Contentid=1000000005000266012&livemode=1&stbId=007
NewTV家庭剧场[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000008284/index.m3u8?channel-id=ystenlive&Contentid=1000000004000008284&livemode=1&stbId=007
NewTV金牌综艺[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000026167/index.m3u8?channel-id=ystenlive&Contentid=1000000004000026167&livemode=1&stbId=007
NewTV惊悚悬疑[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000024282/index.m3u8?channel-id=ystenlive&Contentid=1000000004000024282&livemode=1&stbId=007
NewTV精品大剧[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000013968/index.m3u8?channel-id=ystenlive&Contentid=1000000004000013968&livemode=1&stbId=007
NewTV精品记录[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000013730/index.m3u8?channel-id=ystenlive&Contentid=1000000004000013730&livemode=1&stbId=007
NewTV精品萌宠[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000006000032328/index.m3u8?channel-id=ystenlive&Contentid=1000000006000032328&livemode=1&stbId=007
NewTV精品体育[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000014634/index.m3u8?channel-id=ystenlive&Contentid=1000000004000014634&livemode=1&stbId=007
NewTV军旅剧场[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000003000000014/index.m3u8?channel-id=hnbblive&Contentid=2000000003000000014&livemode=1&stbId=007
NewTV军事评论[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000003000000022/index.m3u8?channel-id=hnbblive&Contentid=2000000003000000022&livemode=1&stbId=007
NewTV魅力潇湘[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000001000006197/index.m3u8?channel-id=ystenlive&Contentid=1000000001000006197&livemode=1&stbId=007
NewTV明星大片[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000019008/index.m3u8?channel-id=ystenlive&Contentid=1000000004000019008&livemode=1&stbId=007
NewTV炫舞未来[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000001000000515/index.m3u8?channel-id=ystenlive&Contentid=1000000001000000515&livemode=1&stbId=007
NewTV怡伴健康[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000266011/index.m3u8?channel-id=ystenlive&Contentid=1000000005000266011&livemode=1&stbId=007
NewTV中国功夫[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000003000000009/index.m3u8?channel-id=hnbblive&Contentid=2000000003000000009&livemode=1&stbId=007
黑莓电影[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000019624/index.m3u8?channel-id=ystenlive&Contentid=1000000004000019624&livemode=1&stbId=007
黑莓动画[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000004000021734/index.m3u8?channel-id=ystenlive&Contentid=1000000004000021734&livemode=1&stbId=007
晴彩广场舞[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/3000000020000011523/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011523&livemode=1&stbId=007
晴彩竞技[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/3000000020000011528/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011528&livemode=1&stbId=007
晴彩篮球[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/3000000020000011529/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011529&livemode=1&stbId=007
晴彩少年[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/3000000020000011525/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011525&livemode=1&stbId=007
求索动物[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/6000000002000010046/index.m3u8?channel-id=wasusyt&Contentid=6000000002000010046&livemode=1&stbId=007
求索纪录[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=007
求索科学[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=007
求索生活[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=007
武搏世界[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000003000000007/index.m3u8?channel-id=hnbblive&Contentid=2000000003000000007&livemode=1&stbId=007
上海频道,#genre#
上海-东方卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265018/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265018&livemode=1&stbId=007
上海-第一财经[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000010000027146/index.m3u8?channel-id=bestzb&Contentid=5000000010000027146&livemode=1&stbId=007
上海-东方影视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000010000032212/index.m3u8?channel-id=bestzb&Contentid=5000000010000032212&livemode=1&stbId=007
上海-都市[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000010000018926/index.m3u8?channel-id=bestzb&Contentid=5000000010000018926&livemode=1&stbId=007
上海-五星体育[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=007
上海-新闻综合[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031110/index.m3u8?channel-id=bestzb&Contentid=5000000011000031110&livemode=1&stbId=007
上海-东方财经[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000007000010003/index.m3u8?channel-id=bestzb&Contentid=5000000007000010003&livemode=1&stbId=007
上海-动漫秀场[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031113/index.m3u8?channel-id=bestzb&Contentid=5000000011000031113&livemode=1&stbId=007
上海-都市剧场[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031111/index.m3u8?channel-id=bestzb&Contentid=5000000011000031111&livemode=1&stbId=007
上海-法治天地[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/9001547084732463424/index.m3u8?channel-id=bestzb&Contentid=9001547084732463424&livemode=1&stbId=007
上海-欢笑剧场[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000002000009455/index.m3u8?channel-id=bestzb&Contentid=5000000002000009455&livemode=1&stbId=007
上海-欢笑剧场[3840x2160],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000007000010001/index.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=007
上海-金色学堂[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000010000026105/index.m3u8?channel-id=bestzb&Contentid=5000000010000026105&livemode=1&stbId=007
上海-劲爆体育[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000002000029972/index.m3u8?channel-id=bestzb&Contentid=5000000002000029972&livemode=1&stbId=007
上海-乐游[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031112/index.m3u8?channel-id=bestzb&Contentid=5000000011000031112&livemode=1&stbId=007
上海-魅力足球[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031207/index.m3u8?channel-id=bestzb&Contentid=5000000011000031207&livemode=1&stbId=007
上海-生活时尚[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000002000019634/index.m3u8?channel-id=bestzb&Contentid=5000000002000019634&livemode=1&stbId=007
上海-游戏风云[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031114/index.m3u8?channel-id=bestzb&Contentid=5000000011000031114&livemode=1&stbId=007
卫视频道,#genre#
安徽卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265025/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265025&livemode=1&stbId=007
北京卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265027/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265027&livemode=1&stbId=007
东南卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265033/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265033&livemode=1&stbId=007
甘肃卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031121/index.m3u8?channel-id=bestzb&Contentid=5000000011000031121&livemode=1&stbId=007
广东卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265034/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265034&livemode=1&stbId=007
广东珠江[1280x720],http://[2409:8087:5e08:24::d]:6610/000000001000/1/2000000003000000033/index.m3u8?channel-id=hnbblive&Contentid=2000000003000000033&livemode=1&stbId=007
广西卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031118/index.m3u8?channel-id=bestzb&Contentid=5000000011000031118&livemode=1&stbId=007
贵州卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000004000025843/index.m3u8?channel-id=bestzb&Contentid=5000000004000025843&livemode=1&stbId=007
海南卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000004000006211/index.m3u8?channel-id=bestzb&Contentid=5000000004000006211&livemode=1&stbId=007
河北卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000006000040016/index.m3u8?channel-id=bestzb&Contentid=5000000006000040016&livemode=1&stbId=007
河南卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000002000027731/index.m3u8?channel-id=ystenlive&Contentid=1000000002000027731&livemode=1&stbId=007
黑龙江卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265029/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265029&livemode=1&stbId=007
湖北卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265023/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265023&livemode=1&stbId=007
湖南卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265024/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265024&livemode=1&stbId=007
吉林卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/5000000011000031117/index.m3u8?channel-id=bestzb&Contentid=5000000011000031117&livemode=1&stbId=007
江苏卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265030/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265030&livemode=1&stbId=007
江西卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265032/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265032&livemode=1&stbId=007
辽宁卫视[1920x1080],http://[2409:8087:5e08:24::d]:6610/000000001000/1/1000000005000265022/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265022&livemode=1&stbId=007
